,station,design_temp,province
226,Colville Lake,72,NT
227,Fort Good Hope,79,NT
228,Fort Liard,80,NT
229,Fort Providence,80,NT
230,Fort Reliance,70,NT
231,Fort Simpson AP,80,NT
232,Fort Smith AP,79,NT
233,Hanbury River,71,NT
234,Hay River AP,77,NT
235,Inner Whalebacks,66,NT
236,Inuvik AP,75,NT
237,Lac La Martre,78,NT
238,Lindburg Landing,79,NT
239,Little Chicago,78,NT
240,Liverpool Bay,65,NT
241,Mould Bay AP,47,NT
242,Nicholson Peninsula,64,NT
243,"Norman, Wells AP",78,NT
244,Pelly Island,62,NT
245,Rae Lakes,76,NT
246,Sachs Harbour,56,NT
247,Trout Lake,76,NT
248,Tuktoyaktuk,69,NT
249,Yellowknife AP,74,NT
250,Yohin,73,NT
252,Amherst,75,NS
253,Baccaro Point,65,NS
254,Beaver Island,67,NS
255,Brier Island,67,NS
256,Caribou Point,78,NS
257,Grand Etang,77,NS
258,Greenwood AP,81,NS
259,"Halifax, Stanfield IAP",79,NS
260,Hart Island,71,NS
261,Kejimkujik,81,NS
262,Kentville,83,NS
263,New Glasgow,79,NS
264,Sable Island,70,NS
265,Shearwater AP,76,NS
266,St Paul Island,70,NS
267,Sydney AP,78,NS
268,Truro CO,71,NS
269,Western Head,72,NS
270,Yarmouth AP,71,NS
272,Alert,49,NU
273,Baker Lake AP,67,NU
274,Brevoort Island,54,NU
275,Byron Bay AP,60,NU
276,Cambridge Bay AP,59,NU
277,Cape Dorset App,57,NU
278,Cape Dyer,52,NU
279,Cape Hooper,53,NU
280,Cape Mercy,51,NU
281,Cape Peel West,63,NU
282,Chesterfield,60,NU
283,Clinton Point,62,NU
284,Clyde AP,52,NU
285,Coral Harbour AP,61,NU
286,Croker River,65,NU
287,Dewar Lakes,54,NU
288,Ennadai Lake,71,NU
289,Eureka,50,NU
290,Fox Five,53,NU
291,Gladman Point AP,56,NU
292,Hall Beach AP,53,NU
293,Hat Island,54,NU
294,Iqaluit AP (AKA Frobisher),57,NU
295,Jenny Lind Island AP,53,NU
296,Kugluktuk AP,68,NU
297,Lady Franklin Point AP,55,NU
298,Longstaff Bluff,56,NU
299,Mackar Inlet,57,NU
300,Pangnirtung,55,NU
301,Pelly Bay,58,NU
302,Pond Inlet AP,52,NU
303,Rankin Inlet AP,63,NU
304,Resolute,48,NU
305,Resolution Island,55,NU
306,Robertson Lake,70,NU
