"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","EE_RATIO","COOL_CAP_KW","COOL_CAP_BTU","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","HEAT_ELEMENT_LABEL_EN","HEAT_ELEMENT_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","ENERGUIDE_LABEL_EN","ENERGUIDE_LABEL_FR","REVERSE_CYCLES_LABEL_EN","REVERSE_CYCLES_LABEL_FR","AMPS"
8952762,"BG-123L","Comfort-Aire",9.8,3.514,12000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
8952763,"CGBG-81L","Comfort-Aire",9.8,2.342,8000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.8
8952764,"CGBG-101L","Comfort-Aire",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.8
8952765,"CGBG-103L","Comfort-Aire",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.6
8952766,"CGBG-121L","Comfort-Aire",9.8,3.514,12000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11.5
8952767,"CGBG-123L","Comfort-Aire",9.8,3.514,12000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
8952768,"REG-253L","Comfort-Aire",9,7.32,25000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12.1
8952769,"CD-121L","Comfort-Aire",9.5,3.514,12000,"casement-slider","fenêtres à battants ou coulissante","no electric heating elements","sans éléments électriques de chauffage","120","120","casement-slider","à battants ou coulissante","without a reverse cycle","sans cycle réversible",11.6
8952770,"BG-143L","Comfort-Aire",8.5,4.099,14000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8952771,"BGE-103L","Comfort-Aire",9,2.928,10000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5
8952772,"BGE-123L","Comfort-Aire",9,3.514,12000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",6
8952773,"BGE-143L","Comfort-Aire",8.5,4.099,14000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8952775,"RAH-183","Comfort-Aire",9.8,5.271,18000,"louvered","appareils à évents lame","-","-","240","240","louvred with reverse cycle","à lames et avec cycle réversible","with a reverse cycle","à cycle réversible",8
8952776,"CGREG-253L","Comfort-Aire",9,7.32,25000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12.1
8952777,"CGBG-143L","Comfort-Aire",8.5,4.099,14000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8952778,"CGBGE-103L","Comfort-Aire",9,2.928,10000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5
8952779,"CGBGE-123L","Comfort-Aire",9,3.514,12000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",6
8952780,"CGBGE-143L","Comfort-Aire",8.5,4.099,14000,"non-louvered","appareils à évents sans lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8952781,"HWF05XCL-TC","Haier",9.7,1.464,5000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.5
8952782,"ESA405N","Haier",11.2,1.523,5200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.1
8952783,"HWE06XCN","Haier",10.7,1.757,6000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
8952784,"ESA406N","Haier",11.2,1.757,6000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.7
8952785,"ESA406N-T","Haier",11.2,1.757,6000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.7
8952786,"ESA406N-TC","Haier",11.2,1.757,6000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.7
