"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saskatchewan","2016A000247","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709592","9.1","67","","","","0"
"2013","Saskatchewan","2016A000247","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709593","9.2","48","","","","0"
"2013","Saskatchewan","2016A000247","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709594","9.3","71","","","","0"
"2013","Saskatchewan","2016A000247","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709595","9.4","19","","","","0"
"2013","Saskatchewan","2016A000247","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709596","9.5","28","","","","0"
"2013","Alberta","2016A000248","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709597","10.1","26","","","","0"
"2013","Alberta","2016A000248","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709598","10.2","20","","","","0"
"2013","Alberta","2016A000248","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709599","10.3","78","","","","0"
"2013","Alberta","2016A000248","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709600","10.4","5","","","","0"
"2013","Alberta","2016A000248","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709601","10.5","21","","","","0"
"2013","British Columbia","2016A000259","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709602","11.1","21","","","","0"
"2013","British Columbia","2016A000259","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709603","11.2","11","","","","0"
"2013","British Columbia","2016A000259","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709604","11.3","52","","","","0"
"2013","British Columbia","2016A000259","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709605","11.4","10","","","","0"
"2013","British Columbia","2016A000259","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709606","11.5","46","","","","0"
"2013","Total census metropolitan areas","","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709607","12.1","59","","","","0"
"2013","Total census metropolitan areas","","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709608","12.2","42","","","","0"
"2013","Total census metropolitan areas","","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709609","12.3","71","","","","0"
"2013","Total census metropolitan areas","","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709610","12.4","17","","","","0"
"2013","Total census metropolitan areas","","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709611","12.5","29","","","","0"
"2013","St. John's, Newfoundland and Labrador","2011S0503001","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709612","13.1","9","E","","","0"
"2013","St. John's, Newfoundland and Labrador","2011S0503001","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709613","13.2","","F","","","0"
"2013","St. John's, Newfoundland and Labrador","2011S0503001","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709614","13.3","","F","","","0"
"2013","St. John's, Newfoundland and Labrador","2011S0503001","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709615","13.4","","F","","","0"
"2013","St. John's, Newfoundland and Labrador","2011S0503001","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709616","13.5","","F","","","0"
